CUSTOMER_ID,name,Date,amount
1,Frank ,31/01/2025,350
2,Nancy,31/01/2025,100
3,Mark ,31/01/2025,50
4,Abigail,31/01/2025,245
1,Frank ,28/02/2025,300
2,Nancy,28/02/2025,100
3,Mark ,28/02/2025,40
4,Abigail,28/02/2025,250
1,Frank ,31/03/2025,230
2,Nancy,31/03/2025,100
3,Mark ,31/03/2025,0
4,Abigail,31/03/2025,250
1,Frank ,30/04/2025,323
2,Nancy,30/04/2025,100
3,Mark ,30/04/2025,325
4,Abigail,30/04/2025,210
1,Frank ,31/05/2025,300
2,Nancy,31/05/2025,100
3,Mark ,31/05/2025,0
4,Abigail,31/05/2025,266
1,Frank ,30/06/2025,310
2,Nancy,30/06/2025,100
3,Mark ,30/06/2025,100
4,Abigail,30/06/2025,278
